gen,t,a,n0,n1,n2,n3,n4,n5,n6,n7,a0,a1,a2,a3,allc,alld,po,minpo,maxpo
 0,64,64, 0, 0, 0, 0, 0, 0, 0,64,   0,   0,   0,4096,409,409,389538,258048,516096
 1,64,64, 0, 0, 0, 0, 0, 0, 0,64,   0,   0,4096,4096,409,409,389108,258048,516096
 2,64,64, 0, 0, 0, 0, 0, 0,64,64,   0,   0,4096,4096,409,409,385516,258048,516096
 3,64,64, 0, 0, 0, 0, 0,64,64,64,   0,   0,4096,4096,409,409,385040,258048,516096
 4,64,64, 0, 0, 0, 0,64,64,64,64,   0,   0,4096,4096,409,409,378340,258048,516096
 5,64,64, 0, 0, 0,64,64,64,64,64,   0,   0,4096,4096,409,409,375458,258048,516096
 6,64,64, 0, 0, 0,64,64,64,64,64,   0,   0,4096,4096,409,409,372844,258048,516096
 7,64,64, 0, 0,64,64,64,64,64,64,   0,   0,4096,4096,409,409,369812,258048,516096
 8,64,64, 0, 0,64,64,64,64,64,64,   0,   0,4096,4096,409,409,367114,258048,516096
 9,64,64, 0,64,64,64,64,64,64,64,   0,4096,4096,4096,409,409,367272,258048,516096
